Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSearchStatus,LastNewJob,AssessBenefits11,Salary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,IDE,OperatingSystem,NumberMonitors,AdBlocker,AdsAgreeDisagree2,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember
930,Yes,Yes,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Mobile developer,3-5 years,0-2 years,I am actively looking for a job,Between 1 and 2 years ago,5.0,,Java;JavaScript;Matlab;Python;Swift;HTML;CSS,,Android;Google Cloud Platform/App Engine;iOS;Firebase,,Android Studio;Atom;IPython / Jupyter;Sublime Text;Xcode,MacOS,2,No,Strongly agree,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,Yes,Yes,4,Yes
1020,Yes,No,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Data or business analyst;Desktop or enterprise applications developer;Full-stack developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,3.0,14500,C#;Java;JavaScript;Matlab;Python;SQL;HTML;CSS,SQL Server;MySQL,AWS;Linux;SharePoint,.NET Core,Eclipse;IntelliJ;Notepad++;PyCharm;Sublime Text;Visual Studio;Visual Studio Code,Windows,2,Yes,Neither agree nor disagree,10 (Very Likely),Multiple times per day,I'm not sure / I can't remember,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,I'm not sure
1142,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,,,C++;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;Oracle;Google Cloud Storage;Elasticsearch,,Hadoop;Node.js;Spark;Spring,Eclipse;IntelliJ;Notepad++;Vim,Linux-based,3,Yes,Somewhat disagree,8,A few times per month or weekly,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,I'm not sure
1150,Yes,Yes,Japan,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Front-end developer;Full-stack developer,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,9.0,300000,JavaScript;Matlab;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;Amazon RDS/Aurora;Google Cloud Storage;Elasticsearch,AWS;Google Cloud Platform/App Engine;Mac OS;Firebase,,Atom,MacOS,2,Yes,Neither agree nor disagree,9,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Yes,Yes,7,Yes
1360,Yes,No,China,,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Embedded applications or devices developer;Mobile developer,6-8 years,,,,,,,,,,,,,,,10 (Very Likely),A few times per week,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,Yes
1402,Yes,Yes,China,"Yes, part-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;DevOps specialist;Full-stack developer,3-5 years,,,,,,,,,,,,,,,,,,,,,,
1414,No,No,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,15-17 years,,,,,,,,,,,,,,,10 (Very Likely),A few times per week,Yes,,,,,
1582,Yes,Yes,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,12-14 years,12-14 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,1.0,5000000,C;C++;C#;Java;JavaScript;Objective-C;PHP;SQL;VBA;VB.NET;Visual Basic 6;Cobol;HTML;CSS;Bash/Shell,SQL Server;MySQL;IBM Db2;Memcached,,,Eclipse;Visual Studio,Windows,2,I'm not sure/I don't know,Strongly disagree,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
1590,No,No,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,Java,Redis;MySQL,Linux,Spring,IntelliJ;Sublime Text;Vim,Linux-based,4,Yes,,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,Yes
1705,Yes,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Embedded applications or devices developer,30 or more years,30 or more years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,7.0,9800000,C;C++;JavaScript;PHP;Python;HTML;CSS;Bash/Shell,,Linux;WordPress,,Notepad++;Vim;Visual Studio Code,Linux-based,1,Yes,Somewhat disagree,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes
1886,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,C#;JavaScript;HTML;CSS,SQL Server;MySQL;SQLite,Windows Desktop or Server,.NET Core,Visual Studio,Windows,1,I'm not sure/I don't know,Neither agree nor disagree,7,Multiple times per day,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,Yes
1906,Yes,Yes,South Korea,No,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",20 to 99 employees,Mobile developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,4.0,18000000,Java;Kotlin;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;SQLite;MariaDB,Android;Firebase,Node.js,Android Studio;IntelliJ;Visual Studio Code,Linux-based,2,Yes,Somewhat disagree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",10 (Very Likely),No
2018,Yes,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,7.0,,Go;Java;JavaScript;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;Apache HBase,,Angular;Hadoop;Spring,IntelliJ;Vim;Visual Studio Code,MacOS,1,Yes,Neither agree nor disagree,7,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,I'm not sure
2065,Yes,No,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer,15-17 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,
2208,No,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,,,,,,,,,,,,,,,,,,,,,,
2344,Yes,Yes,South Korea,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Mobile developer,27-29 years,21-23 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,7.0,70000,C;C++;Java;JavaScript;Objective-C;SQL;Swift;Kotlin;HTML;CSS,,Android;iOS,,Android Studio;Visual Studio Code;Xcode,MacOS,2,No,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,Yes,"No, and I don't know what that is",0 (Not Likely),Yes
2483,Yes,Yes,China,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Desktop or enterprise applications developer;Educator or academic researcher;Front-end developer;Full-stack developer,3-5 years,,,,,,C#;Java;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS,MongoDB;PostgreSQL;Oracle,WordPress,.NET Core,Atom;Notepad++;Sublime Text;Vim;Visual Studio,Windows,2,Yes,Somewhat agree,,,,,,,,
2501,Yes,Yes,Japan,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Database administrator;DevOps specialist,12-14 years,0-2 years,I am not interested in new job opportunities,Between 1 and 2 years ago,8.0,322000,C;C++;Go;Java;JavaScript;Python;Ruby;Bash/Shell,Cassandra,Linux;Mac OS,Node.js,IntelliJ;Vim,Linux-based,1,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",5,Yes
2666,Yes,Yes,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Designer,15-17 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,36000,C#;Java,SQL Server,Arduino;Linux;Raspberry Pi;Windows Desktop or Server,.NET Core;Spring,IntelliJ;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Windows,2,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,No
2790,Yes,No,Japan,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Data scientist or machine learning specialist;Desktop or enterprise applications developer;Game or graphics developer;Mobile developer,24-26 years,12-14 years,I am not interested in new job opportunities,Less than a year ago,4.0,,C;C++;C#;Java;Matlab;Python;HTML;CSS;Bash/Shell,SQL Server;MySQL,Android;Arduino;Google Cloud Platform/App Engine;Linux;Raspberry Pi;Windows Desktop or Server,TensorFlow;Torch/PyTorch,Android Studio;Atom;Eclipse;IPython / Jupyter;Notepad++;PyCharm;Visual Studio;Visual Studio Code,Windows,2,Yes,Strongly disagree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,No
2824,Yes,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Front-end developer,9-11 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,300000,C#;JavaScript;TypeScript;HTML;CSS,"SQL Server;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc);Neo4j",Azure;Serverless;SharePoint,.NET Core;Node.js;React,Notepad++;Visual Studio;Visual Studio Code,Windows,2,I'm not sure/I don't know,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,No
2834,Yes,Yes,Japan,No,Employed full-time,Some college/university study without earning a degree,"Fine arts or performing arts (ex. graphic design, music, studio art)",20 to 99 employees,Full-stack developer,6-8 years,6-8 years,,,,,,,,,,,,,,,,,,,,,
2938,Yes,Yes,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,9-11 years,3-5 years,,,,,,,,,,,,,,,,,,,,,
3030,Yes,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,18-20 years,12-14 years,I am not interested in new job opportunities,More than 4 years ago,6.0,,Java;Perl;HTML;Bash/Shell,Amazon DynamoDB,AWS;Linux;Serverless,Spring,Eclipse;Sublime Text;Vim,MacOS,3,Yes,Somewhat agree,9,A few times per week,I'm not sure / I can't remember,,"No, I didn't know that Stack Overflow had a jobs board",,,Yes
3035,Yes,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Mobile developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,
3233,Yes,Yes,Japan,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,12-14 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,3.0,400000,C++;Java;Python;Bash/Shell,Redis;Apache HBase;Apache Hive;Amazon Redshift;Amazon RDS/Aurora,AWS;Linux,Spring,IntelliJ;IPython / Jupyter;NetBeans;PyCharm,Linux-based,1,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",0 (Not Likely),No
3285,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,9-11 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,11.0,75000,C#;JavaScript;Python;SQL;TypeScript;HTML;CSS,SQL Server,Android;AWS;Google Cloud Platform/App Engine;Windows Desktop or Server;Firebase,Angular;Node.js;React;Cordova,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,2,No,Neither agree nor disagree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",5,Yes
3290,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Designer;Front-end developer;Mobile developer,9-11 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,7.0,5500,JavaScript;Scala;TypeScript;HTML;CSS;Bash/Shell,MongoDB,Android;Azure;iOS,Angular;Node.js;Cordova,Atom;Notepad++;Vim;Visual Studio Code,MacOS,2,Yes,Somewhat agree,9,Multiple times per day,Yes,Multiple times per day,Yes,Yes,8,Yes
3339,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,21-23 years,18-20 years,I am not interested in new job opportunities,Less than a year ago,5.0,,Java;JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;SQLite;MariaDB;Google Cloud Storage,Google Cloud Platform/App Engine;Serverless;Firebase,Node.js;React;Cordova;Spring,IPython / Jupyter;Notepad++;Visual Studio Code;Xcode,,2,No,Neither agree nor disagree,8,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
3385,Yes,No,China,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,0-2 years,0-2 years,I am not interested in new job opportunities,Less than a year ago,8.0,,Swift,,iOS,,Xcode,MacOS,1,I'm not sure/I don't know,Somewhat agree,10 (Very Likely),A few times per month or weekly,Yes,A few times per month or weekly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,I'm not sure
3549,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Front-end developer;Mobile developer,9-11 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,9.0,3850,JavaScript;Objective-C;PHP;SQL;Swift;HTML;CSS,MySQL;MariaDB,Apple Watch or Apple TV;Google Cloud Platform/App Engine;iOS;Mac OS;Firebase,,Sublime Text;Vim;Xcode,MacOS,2,Yes,Neither agree nor disagree,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,"No, I know what it is but I don't have one",10 (Very Likely),I'm not sure
3667,Yes,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees","C-suite executive (CEO, CTO, etc.)",18-20 years,,,,,,Assembly;C;C++;C#;Java;JavaScript;PHP;Python;SQL;Swift;TypeScript;VBA;Visual Basic 6;Delphi/Object Pascal;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;Neo4j,Android;AWS;Drupal;iOS;Linux;Mac OS;Windows Desktop or Server,Angular;.NET Core;Django;Node.js;Cordova;Spring,Android Studio;Atom;Eclipse;IntelliJ;IPython / Jupyter;Notepad++;PyCharm;Visual Studio;Visual Studio Code,MacOS,2,Yes,Neither agree nor disagree,,,,,,,,
3681,Yes,Yes,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,
3705,Yes,Yes,China,,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",20 to 99 employees,Designer;Game or graphics developer;Product manager,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,4.0,8000,JavaScript;Swift;TypeScript;HTML;CSS,SQLite;Amazon DynamoDB,AWS;iOS;Mac OS;Windows Desktop or Server;Firebase,.NET Core;Node.js,Visual Studio Code;Xcode,MacOS,1,Yes,Neither agree nor disagree,8,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,,Yes
3716,No,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,10 to 19 employees,Mobile developer,0-2 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,,,,,,,,,,,,,,,,,
3741,Yes,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Front-end developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,9.0,210000,C#;Java;JavaScript;SQL;VBA;Cobol;HTML;CSS,SQL Server;PostgreSQL,Azure;Windows Desktop or Server,Angular;.NET Core,Eclipse;Notepad++;Visual Studio,Windows,2,Yes,Neither agree nor disagree,10 (Very Likely),A few times per week,Yes,A few times per month or weekly,Yes,"No, I know what it is but I don't have one",1,I'm not sure
3912,Yes,No,Singapore,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Desktop or enterprise applications developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,3.0,130000,C;C++;C#,,Windows Desktop or Server,,Visual Studio;Visual Studio Code,Windows,2,,,,,,,,,,
4042,No,Yes,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,0-2 years,,,,,,,,,,,,,,,5,A few times per month or weekly,Yes,A few times per month or weekly,"No, I didn't know that Stack Overflow had a jobs board","No, I know what it is but I don't have one",,Yes
4045,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Embedded applications or devices developer;Engineering manager;Full-stack developer;Product manager,30 or more years,24-26 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,4.0,13000,Java;Python;R;Scala;SQL;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL;SQLite;Apache Hive;Neo4j;Elasticsearch,Amazon Echo;Android;AWS;Azure;Linux;Raspberry Pi,Hadoop;Spark;TensorFlow;Torch/PyTorch,Android Studio;Emacs;RStudio;Visual Studio,Linux-based,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,I'm not sure / I can't remember,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,I'm not sure
4082,Yes,No,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration","10,000 or more employees",Database administrator;System administrator,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,6.0,,C#;PHP;SQL;Bash/Shell,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Windows Desktop or Server,,PHPStorm;Visual Studio;Visual Studio Code,Windows,2,Yes,Somewhat agree,8,Daily or almost daily,Yes,A few times per week,"No, I didn't know that Stack Overflow had a jobs board","No, I have one but it's out of date",,Yes
