Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSearchStatus,LastNewJob,AssessBenefits11,Salary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,IDE,OperatingSystem,NumberMonitors,AdBlocker,AdsAgreeDisagree2,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember
4328,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,Back-end developer;Product manager,15-17 years,,,,,,,,,,,,,,,10 (Very Likely),A few times per week,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",5,Yes
4995,No,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Mobile developer,9-11 years,,,,,,Java;JavaScript;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite,Android;Linux,Spring,Android Studio;Atom;Eclipse;NetBeans;Notepad++;Vim,Windows,2,Yes,,,,,,,,,
5072,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,5000,Java;JavaScript;HTML;CSS,Cassandra;SQL Server;MySQL;PostgreSQL;Oracle,Windows Desktop or Server,,Atom;Eclipse;Notepad++,Windows,2,No,Neither agree nor disagree,10 (Very Likely),Multiple times per day,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
5355,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Front-end developer;Full-stack developer,12-14 years,,,,,,Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Apache HBase;Apache Hive,Linux,Angular;Hadoop;Spark;Spring,IntelliJ;Vim,Linux-based,2,Yes,Neither agree nor disagree,,,,,,,,
5591,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Front-end developer;Full-stack developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,7.0,4423,Java;JavaScript;SQL;TypeScript,MongoDB;Redis;MariaDB;Memcached,,Angular;Node.js;Spring,Atom;Eclipse;Sublime Text,MacOS,2,No,Strongly agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",6,No
5885,Yes,Yes,Singapore,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data scientist or machine learning specialist,9-11 years,3-5 years,I am actively looking for a job,Between 1 and 2 years ago,3.0,5000,C;C++;Python,Cassandra;Redis;Elasticsearch,Linux;Windows Desktop or Server,TensorFlow;Torch/PyTorch,Eclipse;IPython / Jupyter;PyCharm;Vim;Visual Studio,Linux-based,2,Yes,Neither agree nor disagree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,Yes,10 (Very Likely),Yes
6567,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Back-end developer;Educator or academic researcher;Embedded applications or devices developer;Mobile developer,3-5 years,,,,,,C++;CoffeeScript;Java;JavaScript;Python;Ruby;Scala;Kotlin;CSS,PostgreSQL,Android;Arduino;AWS;Heroku;Linux;Raspberry Pi,Angular,,,,,,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",6,Yes
6961,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Full-stack developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,7.0,4400,JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,,,,Atom;Sublime Text;Vim,MacOS,2,Yes,Strongly agree,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes
8133,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Full-stack developer;Mobile developer,9-11 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,5.0,90000,C#;JavaScript;Objective-C;Swift;HTML;CSS,MongoDB;Google Cloud Storage,iOS;Firebase,Angular;Node.js;React,Visual Studio;Visual Studio Code;Xcode,MacOS,2,No,Strongly agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,Yes,9,Yes
9631,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Educator or academic researcher,3-5 years,3-5 years,I am not interested in new job opportunities,Less than a year ago,2.0,,Java;JavaScript;PHP;SQL;HTML;CSS,MySQL;SQLite;Oracle,Android;AWS;Windows Desktop or Server,Angular;Django;Node.js;React,Eclipse;IPython / Jupyter;Notepad++;PyCharm;Sublime Text;Visual Studio Code,Windows,1,Yes,Neither agree nor disagree,8,Multiple times per day,No,,"No, I didn't know that Stack Overflow had a jobs board",,,Yes
10753,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,Embedded applications or devices developer,9-11 years,,,,,,Assembly;C;C#,,,,NetBeans;Visual Studio,Windows,2,Yes,Neither agree nor disagree,,,,,,,,
11135,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,3300,C#;Java;Objective-C;PHP;Python;SQL;Swift;VB.NET;HTML;CSS;Bash/Shell,SQL Server;MySQL,Android;Arduino;iOS;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server,Angular;Node.js;React,Android Studio;Atom;Eclipse;Emacs;NetBeans;Notepad++;PHPStorm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode,Windows,2,Yes,Somewhat agree,9,Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I know what it is but I don't have one",8,Yes
11797,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,1.0,4000,Python;SQL,MongoDB;PostgreSQL;Amazon RDS/Aurora;Elasticsearch,AWS,,Sublime Text;Vim,Linux-based,1,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",8,I'm not sure
12034,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Full-stack developer,6-8 years,3-5 years,I am actively looking for a job,Less than a year ago,4.0,3000,Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server;MySQL,Linux;WordPress,Angular;Node.js;Spring,Eclipse;IntelliJ;Notepad++;PHPStorm;Sublime Text;Vim,Windows,2,Yes,Somewhat agree,8,Multiple times per day,Yes,Multiple times per day,Yes,Yes,8,Yes
12216,Yes,Yes,Singapore,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Front-end developer;Full-stack developer;Mobile developer,6-8 years,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,Yes,Yes,10 (Very Likely),Yes
12671,No,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",20 to 99 employees,Mobile developer,3-5 years,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",6,Yes
13158,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,9-11 years,9-11 years,I am actively looking for a job,Between 2 and 4 years ago,8.0,,C;C++;Clojure;Java;JavaScript;Objective-C;Python;Swift;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,,Android,Angular;.NET Core;Django;Node.js;React;TensorFlow,Android Studio;Sublime Text,Windows,1,Yes,Strongly agree,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
13254,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","10,000 or more employees",Full-stack developer,18-20 years,6-8 years,I am not interested in new job opportunities,Between 1 and 2 years ago,8.0,,Java;JavaScript;Ruby;SQL;HTML;Bash/Shell,Oracle;Elasticsearch,Linux,Node.js;React;Spring,IntelliJ,Windows,1,Yes,Strongly agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",9,Yes
13534,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;System administrator,0-2 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,6.0,40000,C#;Java;JavaScript;PHP;SQL;HTML,SQL Server;MySQL,Android;Arduino;Linux;Windows Desktop or Server,Node.js;React,Visual Studio;Visual Studio Code,Windows,1,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,I'm not sure / I can't remember,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,Yes
13758,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Full-stack developer,0-2 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,3000,C;C++;C#;JavaScript;SQL;VB.NET;HTML;CSS,SQL Server;MySQL;MariaDB,Raspberry Pi;Windows Desktop or Server,Angular;.NET Core,Atom;Notepad++;Visual Studio;Visual Studio Code,Windows,2,No,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",10 (Very Likely),Yes
14026,Yes,Yes,Singapore,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",10 to 19 employees,Back-end developer;Mobile developer,6-8 years,,,,,,Clojure;Go,,Android,,Android Studio,Linux-based,2,I'm not sure/I don't know,Strongly agree,,,,,,,,
14954,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;DevOps specialist;Full-stack developer;System administrator",24-26 years,9-11 years,I am not interested in new job opportunities,Between 2 and 4 years ago,7.0,12500,C++;Java;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,"Redis;MySQL;PostgreSQL;MariaDB;Memcached;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",AWS;Azure;Google Cloud Platform/App Engine;Heroku;Linux;Mac OS;Raspberry Pi;WordPress,Angular;Spring;TensorFlow,Android Studio;IntelliJ;IPython / Jupyter;Notepad++;PHPStorm;PyCharm;Sublime Text;Vim,Linux-based,More than 4,Yes,Neither agree nor disagree,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,Yes,"No, I have one but it's out of date",0 (Not Likely),Yes
15151,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Full-stack developer,6-8 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,8.0,70000,C;C++;C#,Elasticsearch,Windows Desktop or Server,.NET Core,Eclipse;Visual Studio;Visual Studio Code,Windows,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",7,Yes
15251,Yes,No,Singapore,No,Employed full-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Full-stack developer,3-5 years,0-2 years,I am not interested in new job opportunities,Less than a year ago,7.0,3000,C#;Java;JavaScript;Ruby;SQL;VBA;HTML;CSS,SQL Server,Android;Windows Desktop or Server,Angular;.NET Core,Android Studio;Atom;Notepad++;Visual Studio;Visual Studio Code,Windows,2,No,Strongly disagree,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",1,Yes
15556,No,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Full-stack developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,4.0,5800,,,,,,,,,,,,,,,,,
16095,No,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,9-11 years,,,,,,Java;JavaScript;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL,,Spring,Eclipse;IntelliJ,Windows,1,No,Somewhat agree,,,,,,,,
16614,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Front-end developer,6-8 years,6-8 years,I am actively looking for a job,Between 2 and 4 years ago,2.0,50000,C;C++;C#;VBA;VB.NET;Visual Basic 6,SQL Server,Windows Desktop or Server;Windows Phone,.NET Core,Visual Studio;Visual Studio Code,Windows,2,I'm not sure/I don't know,Somewhat agree,10 (Very Likely),A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, I have one but it's out of date",,Yes
17242,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Front-end developer;Full-stack developer,12-14 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,2.0,,Assembly;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;SQLite;Oracle,AWS;Linux;Windows Desktop or Server,Angular;Django;React;Spring;TensorFlow,Eclipse;IntelliJ;IPython / Jupyter;Notepad++;Vim;Visual Studio,Windows,2,No,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes
17919,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Educator or academic researcher,12-14 years,,,,,,C;Java;Matlab;PHP;Python;CSS,MySQL;Oracle,Linux,,Atom;Sublime Text;Vim,Linux-based,2,Yes,Neither agree nor disagree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
18312,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data scientist or machine learning specialist,15-17 years,,,,,,Julia;Python;R;VBA;Bash/Shell,SQLite;Apache Hive,,,,,,,,,,,,,,,
18330,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,20 to 99 employees,Front-end developer;Full-stack developer,0-2 years,0-2 years,I am not interested in new job opportunities,Less than a year ago,5.0,3000,JavaScript;PHP;Ruby;SQL;HTML;CSS,MongoDB;PostgreSQL,Heroku;Mac OS;WordPress;Firebase,Node.js;React,Atom,MacOS,1,I'm not sure/I don't know,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",7,I'm not sure
18677,Yes,Yes,Singapore,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data scientist or machine learning specialist,12-14 years,3-5 years,I am not interested in new job opportunities,Less than a year ago,8.0,7500,Python;R;Scala;SQL;Bash/Shell,MySQL;Apache Hive,,Spark,Atom;IPython / Jupyter;RStudio,MacOS,2,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,Yes,"No, I have one but it's out of date",5,Yes
18799,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,3-5 years,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,Yes,,,,,
18970,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Desktop or enterprise applications developer,9-11 years,,,,,,C#;JavaScript;SQL;VB.NET;HTML;CSS,SQL Server,Windows Desktop or Server,,Notepad++;Visual Studio,Windows,2,No,Neither agree nor disagree,8,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
19126,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Front-end developer,6-8 years,0-2 years,I am actively looking for a job,Between 1 and 2 years ago,7.0,3000,Java;JavaScript;HTML;CSS,,Linux;Windows Desktop or Server,Spring,IntelliJ;Notepad++,Windows,2,I'm not sure/I don't know,Somewhat agree,9,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I know what it is but I don't have one",7,Yes
19814,No,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Full-stack developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,62500,C++;C#;Java;Matlab;Python,,Arduino;Linux;Raspberry Pi;Windows Desktop or Server,.NET Core;TensorFlow,IPython / Jupyter;Notepad++;PyCharm;Visual Studio,Windows,3,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
20020,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Full-stack developer,12-14 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,8.0,4200,Java;JavaScript;PHP;SQL;HTML;CSS,MySQL,Google Cloud Platform/App Engine,Node.js,Android Studio;Atom;Eclipse;Notepad++;Sublime Text,Linux-based,1,No,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",6,Yes
